Stock,Weight,Date
SH600221,0.766311305,2017/2/28
SH603167,0.766311305,2017/2/28
SH603223,0.766311306,2017/2/28
SZ002627,0.766311306,2017/2/28
SH600593,0.1866816,2017/2/28
SH603199,0.186681602,2017/2/28
SZ002306,0.186681601,2017/2/28
SH600229,0.801314105,2017/2/28
SH600386,0.801314105,2017/2/28
SH600661,0.801314105,2017/2/28
SH601928,0.801314105,2017/2/28
SH600101,0.745893005,2017/2/28
SH600283,0.745893005,2017/2/28
SH600644,0.745893005,2017/2/28
SH600864,0.745893005,2017/2/28
SZ000421,0.745893004,2017/2/28
SZ000862,0.745893004,2017/2/28
SH600191,0.692555404,2017/2/28
SZ000713,0.692555404,2017/2/28
SZ000876,0.692555404,2017/2/28
SZ002746,0.692555404,2017/2/28
SH600273,0.525792064,2017/2/28
SH600589,0.525792063,2017/2/28
SZ002165,0.525792064,2017/2/28
SZ002274,0.525792063,2017/2/28
SZ002381,0.525792063,2017/2/28
SZ002734,0.525792063,2017/2/28
SZ300041,0.525792064,2017/2/28
SZ300067,0.525792063,2017/2/28
SZ300218,0.525792064,2017/2/28
SZ300305,0.525792063,2017/2/28
SZ300321,0.525792063,2017/2/28
SZ300405,0.525792063,2017/2/28
SH600216,1.20199616,2017/2/28
SH600529,1.201996159,2017/2/28
SH603309,1.20199616,2017/2/28
SH603456,1.20199616,2017/2/28
SZ002365,1.201996159,2017/2/28
SZ002566,1.20199616,2017/2/28
SZ002758,1.201996161,2017/2/28
SZ002788,1.20199616,2017/2/28
SZ300254,1.20199616,2017/2/28
SZ300453,1.201996159,2017/2/28
SH600128,1.016331307,2017/2/28
SH600628,1.016331307,2017/2/28
SH600694,1.016331307,2017/2/28
SH603123,1.016331306,2017/2/28
SH600879,0.738559085,2017/2/28
SZ300456,0.738559083,2017/2/28
SZ002290,0.532042564,2017/2/28
SZ002403,0.532042564,2017/2/28
SZ300475,0.532042564,2017/2/28
SZ002314,0.762060965,2017/2/28
SZ002457,0.762060965,2017/2/28
SZ002641,0.762060965,2017/2/28
SH601226,0.617299384,2017/2/28
SZ002060,0.617299384,2017/2/28
SZ002743,0.617299384,2017/2/28
SZ002781,0.617299385,2017/2/28
SH600067,1.040583246,2017/2/28
SH600568,1.040583246,2017/2/28
SH600648,1.040583247,2017/2/28
SH600708,1.040583246,2017/2/28
SH600823,1.040583247,2017/2/28
SZ002077,1.040583247,2017/2/28
SH601677,1.67763421,2017/2/28
SZ002160,1.677634211,2017/2/28
SZ002295,1.677634211,2017/2/28
SZ300489,1.67763421,2017/2/28
SH601313,0.471946847,2017/2/28
SH603011,0.471946847,2017/2/28
SZ000880,0.471946846,2017/2/28
SZ002026,0.471946847,2017/2/28
SZ002347,0.471946847,2017/2/28
SZ002490,0.471946846,2017/2/28
SZ300151,0.471946846,2017/2/28
SZ300154,0.471946846,2017/2/28
SZ300165,0.471946846,2017/2/28
SZ300259,0.471946847,2017/2/28
SZ300421,0.471946846,2017/2/28
SZ002454,0.577379524,2017/2/28
SZ002536,0.577379523,2017/2/28
SZ002593,0.577379524,2017/2/28
SZ002607,0.577379524,2017/2/28
SZ002708,0.577379523,2017/2/28
SZ300375,0.577379524,2017/2/28
SH603328,0.970506213,2017/2/28
SZ000701,0.970506212,2017/2/28
SZ002782,0.970506213,2017/2/28
SZ300139,0.970506212,2017/2/28
SZ300241,0.970506212,2017/2/28
SZ300346,0.970506211,2017/2/28
SZ300389,0.970506212,2017/2/28
SH603015,0.805778748,2017/2/28
SZ002334,0.805778748,2017/2/28
SZ002441,0.805778748,2017/2/28
SZ002533,0.805778748,2017/2/28
SZ002580,0.805778747,2017/2/28
SZ002733,0.805778748,2017/2/28
SZ300286,0.805778748,2017/2/28
SH603608,0.485372164,2017/2/28
SZ002144,0.485372163,2017/2/28
SZ002763,0.485372162,2017/2/28
SH600811,0.842567405,2017/2/28
SZ000628,0.842567406,2017/2/28
SH600100,0.821208554,2017/2/28
SH600601,0.821208554,2017/2/28
SZ000021,0.821208554,2017/2/28
SZ000948,0.821208554,2017/2/28
SZ002649,0.821208553,2017/2/28
SZ300245,0.821208554,2017/2/28
SZ300384,0.821208554,2017/2/28
SH600210,0.642551404,2017/2/28
SH603021,0.642551404,2017/2/28
SZ000833,0.642551404,2017/2/28
SZ002014,0.642551404,2017/2/28
SH603118,1.026748807,2017/2/28
SZ000851,1.026748807,2017/2/28
SZ002417,1.026748806,2017/2/28
SH600188,0.698389204,2017/2/28
SH600348,0.698389204,2017/2/28
SH601857,0.698389205,2017/2/28
SZ000898,0.515707923,2017/2/28
SZ002318,0.515707923,2017/2/28
SZ002478,0.515707924,2017/2/28
SH600061,0.414033123,2017/2/28
SH600369,0.414033123,2017/2/28
SH600597,0.661552925,2017/2/28
SH601579,0.661552924,2017/2/28
SZ002582,0.661552923,2017/2/28
SZ002702,0.661552924,2017/2/28
